"ID";"Valid";"SU";"Fn";"Ctx";"Form";"Root"
"umpama";1;"upama";"c";"--";"--";"upama"
"umpamanya";1;"upamana";"c";"--";"--";"upamana"
"untuk";1;"pikeun";"p";"--";"--";"pikeun"
"usah";1;"perlu";"m";"--";"--";"perlu"
"walau";1;"cacak";"c";"--";"--";"cacak"
"walaupun";1;"sanajan";"c";"--";"--";"sanajan"
"yaitu";1;"nyaéta";"ad";"--";"--";"nyaéta"
"yakni";1;"nyaéta";"ad";"--";"--";"éta"
"yang";1;"anu";"pn";"--";"--";"anu"
"apa-apa";1;"nanaon";"pn";"--";"--";"naon"
"berikut";1;"katut";"c";"--";"--";"katut"
"yg";1;"anu";"pn";"--";"singgetan";"anu"
"jangankan";1;"tong boro";"c";"--";"--";"tong"
"begitulah";1;"kitu pisan";"c";"--";"--";"kitu"
